MARKET,7/30/2020,,,,,,
,,Price,Price,Price,Qty,Qty,Qty
Product Name,Qty Type,,,,,,
,,Before,After,Change?,Before,After,Change?
Apples - Pink Lady,Box (12kg),47.5,55,*,12,6,*
Beans - Broad,Box (5kg),0,75,*,0,1,*
Carrots - Snacks Pre-pack 250g 'Harvest,,,,,,,
Moon',Tray,0,30,*,0,2,*
Juice - Organic Orange,Btle (2L),0,109,*,0,1,*
Mandarins - Afourer,Box (10kg),0,48,*,0,8,*
Oranges (Pre-Pack),Net (3Kg),3.5,4,*,30,18,*
Rockmelon,Box (6),0,16,*,0,12,*
Strawberries PLATES,Tray,0,54,*,0,8,*
Tomatoes - Ox Heart,Tray,0,30,*,0,3,*
Apples - Granny Smith,Box (12kg),30,40,*,6,6,
Apples - Pink Lady Small,Box (12kg),40,42,*,12,12,
Avocados - Reed,Tray,30,36,*,8,8,
Basil,Bunch,4,4.5,*,30,30,
Beans - Butter,Box (5kg),45,50,*,1,1,
Blueberries,Tray,40,42,*,6,6,
Bok Choy,Box,15,16,*,2,2,
Brussel Sprouts - Green,Box (10kg),40,38,*,2,2,
Cabbage - Green,Each,3.5,4,*,20,20,
Cauliflower,Bin,0,120,*,2,2,
Cherries,Box (5kg),125,135,*,1,1,
Corn - Baby (Aust),Tray (8),45,35,*,1,1,
Corn - On The Cob,Box (30),50,55,*,3,3,
Corn (Pre-Pack),Box (12),50,55,*,2,2,
Cucumber - Continental,Bag (15),30,32,*,4,4,
Cucumber - Lebanese,Box (10kg),75,80,*,2,2,
Grapes - Red,Box,45,130,*,4,4,
Lemons - Premium,Box,30,28,*,2,2,
Lettuce - Baby Cos (Twin Pack),Box,18,20,*,1,1,
Lettuce - Iceberg,Box (12),42,40,*,2,2,
Nectarines - White,Box (10kg),130,108,*,2,2,
Nectarines - Yellow,Box (10kg),130,108,*,2,2,
Parsnip - Medium,Box (10kg),50,60,*,2,2,
Passionfruit,Box (110),60,70,*,1,1,
Potatoes - Brushed,Bag (5kg),2,2.2,*,15,15,
Potatoes - Washed (Medium),Box (15kg),30,25,*,6,6,
Produce Rolls,Box,33,35,*,4,4,
Snowpeas,Box,65,60,*,1,1,
Spring Onions,Bunch,2,1.5,*,80,80,
Strawberries,Tray (15),45,43,*,15,15,
Strawberries - Small,Tray,45,20,*,1,1,
Tomatoes - Cherry,Tray (15),18,27,*,6,6,
Tomatoes - Kumato,Tray (8),36,48,*,2,2,
Tomatoes - Truss,Tray (5kg),35,30,*,6,6,
Wombok,Box (8),20,22,*,2,2,
Zucchini - Green,Box (10kg),40,35,*,8,8,
Bananas (Semi Ripe),Box (13kg),30,30,,12,18,*
Beetroot - Large 'Tops On',Bunch,6,6,,6,3,*
Kiwifruit - Golden,Box,38,38,,3,1,*
Apples - Jazz,Box (12kg),48,48,,4,4,
Apples - Kanzi,Box (12kg),50,50,,6,6,
Asparagus - Green,Box (34),120,120,,1,1,
Avocados - Hass (Semi Ripe),Tray,55,55,,8,8,
Beans - Green (Hand Picked),Box (10kg),60,60,,4,4,
Blackberries,Tray,72,72,,1,1,
Broccoli,Box (8kg),22,22,,12,12,
