product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'12SB','BOX',12 Piece Sandwich Box,Box,'','','No','available',39.00,65.00,65.00,78.00,78.00,65.00,65.00,65.00,73.45,6c949d5b-797c-4f11-bf3b-c5e4a87a094b,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'24SB','BOX',24 Piece Sandwich Box,Box,'','','No','available',60.00,100.00,100.00,120.00,120.00,100.00,100.00,100.00,113.00,c367a8c5-38a8-4357-b8fe-2be5c6fac3d7,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'N1866','',Alfalfa,Pn,'O5','','No','available',1.50,2.30,2.40,2.76,2.40,2.40,2.15,2.76,2.15,7eb8f865-f528-4449-822f-e420848af287,8f170da3-9efc-40c7-b607-758d6b00e8a2
'MIN120','CTN',Almond Milk 'Milk Lab'.,CTN (8),'','','No','available',28.50,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24a9dcf5-e60b-42af-b172-4c6f2b81a3b7,a695e567-ca7b-4470-93b4-afeb618381d4
'X2807','BOX',Almonds - Green,Box,'N6','','No','unavailable',35.00,48.00,52.00,57.60,52.00,52.00,45.00,57.60,45.00,8c1fd939-1522-4bb3-943f-4abbb9e8c171,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'X2806','KG',Almonds - Green,Kg,'N6','','No','unavailable',4.12,6.50,7.25,7.80,7.25,7.25,6.50,7.80,6.50,8c1fd939-1522-4bb3-943f-4abbb9e8c171,94ab9910-b3ea-495c-a740-198b0364a92f
'ALMNSA50018','CTN',Almonds - New Seasons 'JC's',CTN (18),'','','No','available',6.50,11.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,085737d3-0a26-4ebf-8394-0dffc1ccb40c,cfbee247-c7c1-4461-b07d-77d006db89ba
'N1700','BUN',Amaranth,Bunch,'N4','','No','available',0.80,1.75,2.00,2.10,2.00,2.00,1.75,2.10,1.75,cfea109d-d639-44da-9c96-5bbe59281fee,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'W2700','EA',Apple Crumble,Each (500g),'Kitchen','48 hours notice required for this product','No','available',5.50,7.19,7.19,8.63,7.19,7.19,7.19,8.63,7.19,8fbfd84d-b2fd-43bb-a602-557f13dd15aa,8bb9781f-61bf-45b8-a16c-d5bf66a266c8
'M1500','',Apples (Diced),Kg,'J4','48 hours notice required for this product','No','available',8.50,13.50,14.50,16.20,14.50,14.50,13.50,16.20,13.50,884f8b66-de12-44bc-a98e-99c22596e425,94ab9910-b3ea-495c-a740-198b0364a92f
'C0211','',Apples (LnE),Tub,'G7','','No','available',35.00,46.80,46.80,46.80,46.80,46.80,46.80,46.80,46.80,3b825562-f3d7-4e25-a796-e0e202c914df,be1bda10-af12-4d2b-8912-fcb9b0cd1f03
'C0200','',Apples - Baby,Pn,'G8','','No','available',1.88,3.25,3.70,3.90,3.70,3.70,2.90,3.90,2.90,cae16015-60f4-44b6-a267-d9f6c05edcd7,8f170da3-9efc-40c7-b607-758d6b00e8a2
'C0201','',Apples - Crabapples,Pn,'N6','','No','unavailable',5.00,7.50,7.50,9.00,7.50,7.50,7.50,9.00,7.50,16f493d6-105e-44fa-a398-f3f2fc58c53b,8f170da3-9efc-40c7-b607-758d6b00e8a2
'B0163','',Apples - Custard,Kg,'B','','No','limited',11.67,16.95,17.65,18.45,17.65,17.65,16.25,18.45,14.50,3db17111-4614-43c8-9378-22979e307a82,94ab9910-b3ea-495c-a740-198b0364a92f
'B0162','TRAY',Apples - Custard,Tray,'B','','No','limited',70.00,94.00,99.00,106.00,99.00,99.00,91.00,106.00,65.00,3db17111-4614-43c8-9378-22979e307a82,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'C0202','',Apples - Fuji,Box (12kg),'G8','','No','available',55.00,65.00,70.00,75.00,70.00,70.00,64.00,75.00,64.00,0d5f0271-dfac-4267-b77e-7fe082188d8d,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0203','',Apples - Fuji,Kg,'G8','','No','available',4.58,6.25,6.60,6.95,6.60,6.60,6.00,6.95,6.00,0d5f0271-dfac-4267-b77e-7fe082188d8d,94ab9910-b3ea-495c-a740-198b0364a92f
'C0204','',Apples - Fuji,Tray (5kg),'G8','','No','available',25.00,40.00,42.00,48.00,42.00,42.00,39.00,48.00,39.00,0d5f0271-dfac-4267-b77e-7fe082188d8d,c0d86ad7-5b59-45dd-a0cc-2a2668796274
'C0205','',Apples - Golden Delicious,Box (12kg),'G8','','No','available',46.00,58.00,61.00,64.00,61.00,61.00,56.00,64.00,49.00,384b5931-9ebf-47ce-b466-2c69a34eed83,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0207','',Apples - Golden Delicious,Kg,'G8','','No','available',3.83,5.35,5.75,5.95,5.75,5.75,5.35,5.95,4.50,384b5931-9ebf-47ce-b466-2c69a34eed83,94ab9910-b3ea-495c-a740-198b0364a92f
'C0208','',Apples - Granny Smith,Box (12kg),'G7','','No','available',35.00,47.00,52.00,57.00,52.00,52.00,45.00,57.00,44.00,623c25e6-33f4-4ab2-9944-f90e0c4f9bfd,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0210','',Apples - Granny Smith,Kg,'G7','','No','available',2.91,4.50,4.90,5.30,4.90,4.90,4.40,5.30,4.25,623c25e6-33f4-4ab2-9944-f90e0c4f9bfd,94ab9910-b3ea-495c-a740-198b0364a92f
'C0212','',Apples - Granny Smith (Pre-Pack 8),Tray,'G8','','No','available',32.00,39.00,42.00,46.80,42.00,42.00,38.00,46.80,38.00,7c7f2f86-0315-4855-93ea-d46c84584c0a,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'C0214','',Apples - Green,Box (12kg),'J1','','No','unavailable',38.00,49.00,52.00,56.00,52.00,52.00,48.00,56.00,44.00,431d03ea-76ab-4222-8fe8-503b95e72fe2,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0213','',Apples - Green Juicing,Box (12kg),'H7','','No','available',16.00,23.00,25.00,27.50,25.00,25.00,22.00,27.50,22.00,cb0bb48c-dd49-4c1a-add1-69e91e4bd440,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0213','',Apples - Green Juicing,Kg,'H7','','No','available',1.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,cb0bb48c-dd49-4c1a-add1-69e91e4bd440,94ab9910-b3ea-495c-a740-198b0364a92f
'C0215','',Apples - Jazz,Box (12kg),'G4','','No','available',50.00,68.00,70.00,81.60,70.00,70.00,65.00,81.60,65.00,4ec324a3-b509-4dec-b100-3533312489e1,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0216','',Apples - Jazz,Kg,'G4','','No','available',4.17,5.95,6.45,7.14,6.45,6.45,5.95,7.14,5.95,4ec324a3-b509-4dec-b100-3533312489e1,94ab9910-b3ea-495c-a740-198b0364a92f
'C0217','',Apples - Jonathan,Box (12kg),'G4','','No','available',30.00,38.00,40.00,45.60,40.00,40.00,38.00,45.60,38.00,14a8870a-ce3e-4f88-a288-a039cbb5e375,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0218','',Apples - Kanzi,Box (12kg),'G4','','No','available',50.00,60.00,64.00,69.60,64.00,64.00,59.00,69.60,57.00,691c0892-f4ca-4e2f-8654-61452cc10bed,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0219','',Apples - Kanzi,Kg,'G4','','No','available',4.17,5.95,5.95,7.14,5.95,5.95,5.95,7.14,5.95,691c0892-f4ca-4e2f-8654-61452cc10bed,94ab9910-b3ea-495c-a740-198b0364a92f
'C0221','',Apples - Pink Lady,Box (12kg),'G7','','No','available',42.00,55.00,58.00,61.00,58.00,58.00,50.00,61.00,52.00,fedc6ae2-1eec-4d63-88dc-e46830efad41,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0223','',Apples - Pink Lady,Kg,'G7','','No','available',3.50,4.95,5.40,5.80,5.40,5.40,4.95,5.80,4.65,fedc6ae2-1eec-4d63-88dc-e46830efad41,94ab9910-b3ea-495c-a740-198b0364a92f
'C0224','',Apples - Pink Lady (Pre-Pack 8),Tray,'G8','','No','available',32.00,39.00,42.00,46.80,42.00,42.00,38.00,46.80,38.00,8a0d337d-2845-4869-ab06-d6020a430f7a,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'C0226','',Apples - Red,Box (12kg),'I8','','No','available',45.00,57.00,60.00,63.00,60.00,60.00,55.00,63.00,52.00,848d5b49-30e8-4ff5-9d43-34265c84c2a9,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0220','',Apples - Red (Pre-Packed Bag),Each,'J9','','No','unavailable',3.00,4.00,4.25,4.80,4.25,4.25,4.00,4.80,4.00,a9965afc-eeb5-4107-a313-a73afd699403,8d446963-03cb-4081-9ba7-4909f3208813
'C0225','',Apples - Red Juicing,Box (12kg),'H7','','No','available',25.00,35.00,37.50,41.25,37.50,37.50,34.00,41.25,32.00,d8cd0f49-422e-493f-8f95-677d071cd913,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0227','',Apples - Royal Gala,Box (12kg),'G7','','No','available',48.00,65.00,68.00,72.00,68.00,68.00,63.00,72.00,52.00,86d2193c-b71e-401d-a0c0-d3b3a348be47,3a6ecaf3-455a-4e32-85db-539f4b14fcc4
'C0229','',Apples - Royal Gala,Kg,'G7','','No','available',4.00,5.75,6.20,6.70,6.20,6.20,5.60,6.70,4.65,86d2193c-b71e-401d-a0c0-d3b3a348be47,94ab9910-b3ea-495c-a740-198b0364a92f
'C0230','',Apples - Royal Gala (Pre-Pack 8),Tray,'G8','','No','available',32.00,39.00,42.00,46.80,42.00,42.00,38.00,46.80,38.00,ca2cd074-8ba3-4ddf-a8f2-e802c1c146e4,4e2dbf0a-c55a-47d1-9e87-a086f2c847b4
'E0400','',Apricots,Box,'G4','','No','unavailable',35.00,45.00,47.00,54.00,47.00,47.00,44.00,54.00,44.00,c7a5798e-5380-457b-a89f-a323d5834a50,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'E0402','',Apricots,Kg,'G4','','No','unavailable',7.00,9.70,10.50,11.64,10.50,10.50,9.70,11.64,9.70,c7a5798e-5380-457b-a89f-a323d5834a50,94ab9910-b3ea-495c-a740-198b0364a92f
'H0700','',Artichokes - Globe,Box (20),'L4','','No','available',35.00,47.00,52.00,57.00,52.00,52.00,45.00,57.00,50.00,fa173e6c-72ae-409f-8bbe-cc19f619cd59,8289b0ff-6bb3-45fc-a271-66e4ff9cd82c
'H0701','',Artichokes - Globe,Each,'L4','','No','available',1.75,2.75,3.00,3.30,3.00,3.00,2.55,3.30,2.75,fa173e6c-72ae-409f-8bbe-cc19f619cd59,8d446963-03cb-4081-9ba7-4909f3208813
'H0702','',Artichokes - Globe Baby,Box (6kg),'L4','','No','available',35.00,47.00,52.00,57.00,52.00,52.00,45.00,57.00,35.00,ee3dac91-d2d1-4e9b-b583-70a90610aa9d,395ba80b-aa29-4d3c-89df-f4f827c6433d
'H0703','',Artichokes - Globe Baby,Kg,'L4','','No','available',5.83,9.50,9.90,10.50,9.90,9.90,9.00,10.50,6.75,ee3dac91-d2d1-4e9b-b583-70a90610aa9d,94ab9910-b3ea-495c-a740-198b0364a92f
'H0704','',Artichokes - Jerusalem,Box (5kg),'E5','','No','available',35.00,47.00,50.00,54.00,50.00,50.00,46.00,54.00,46.00,e6a3bc20-0a6d-437b-ab97-50db04e30340,3d485084-df7f-4606-b912-b5c196504808
'H0705','',Artichokes - Jerusalem,Kg,'E5','','No','available',7.00,10.65,11.20,11.85,11.20,11.20,9.90,11.85,9.90,e6a3bc20-0a6d-437b-ab97-50db04e30340,94ab9910-b3ea-495c-a740-198b0364a92f
'M1501','',Artichokes - Jerusalem (Peeled),Kg,'J4','48 hours notice required for this product','No','available',24.00,32.40,36.00,39.60,36.00,36.00,31.20,39.60,32.00,31b2b5ba-e759-4082-b76f-2fb7d31278b2,94ab9910-b3ea-495c-a740-198b0364a92f
'H0706','',Asparagus - Baby Green ,Box,'L1','','No','unavailable',100.00,120.00,125.00,144.00,125.00,125.00,120.00,144.00,120.00,a56ce8b9-da4a-4dc9-ab7d-8c14b390ba1c,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0707','',Asparagus - Baby Green ,Bunch,'L1','','No','unavailable',2.50,3.50,3.75,4.20,3.75,3.75,3.25,4.20,3.25,a56ce8b9-da4a-4dc9-ab7d-8c14b390ba1c,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'H0708','',Asparagus - Green,Box (34),'L1','','No','available',120.00,148.00,154.00,159.00,145.00,154.00,146.00,155.00,72.00,e1b6ac4f-0de0-470e-827f-058566615060,1ba06688-047a-4038-9514-9e10d05c9891
'H0709','',Asparagus - Green,Bunch,'L1','','No','available',3.53,4.75,5.20,5.65,4.80,5.20,4.65,5.25,2.50,e1b6ac4f-0de0-470e-827f-058566615060,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'H0713','',Asparagus - Green (2nd's),Box,'H8','','No','limited',50.00,70.00,75.00,80.00,105.00,75.00,80.00,115.50,64.00,d98717f0-2666-4766-88de-066f49f5f74a,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0710','',Asparagus - Green (Large),Box,'L1','','No','limited',120.00,145.00,150.00,155.00,150.00,150.00,142.00,155.00,92.00,465902e9-ed95-45af-bd5c-1b1d3670025a,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0711','',Asparagus - Green (Large),Kg,'L1','','No','limited',20.00,26.50,27.50,28.50,27.50,27.50,26.00,28.50,16.50,465902e9-ed95-45af-bd5c-1b1d3670025a,94ab9910-b3ea-495c-a740-198b0364a92f
'H0712','',Asparagus - Purple,Bunch,'L1','','No','unavailable',1.47,3.45,3.85,4.14,3.85,3.85,3.45,4.14,3.45,882a6190-0da7-4e04-8a5c-82450ddb84da,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'H0714','',Asparagus - White,Box,'L1','','No','unavailable',60.00,75.00,78.00,90.00,78.00,78.00,74.00,90.00,74.00,87ddcd0d-8e2d-4c76-a0b0-a5e8c3c46ec9,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'H0715','',Asparagus - White,Kg,'L1','','No','unavailable',20.00,29.00,29.80,34.80,29.80,29.80,28.50,34.80,28.50,87ddcd0d-8e2d-4c76-a0b0-a5e8c3c46ec9,94ab9910-b3ea-495c-a740-198b0364a92f
'B0137','',Autumn Medlars,Kg,'F5','','No','unavailable',6.70,8.90,10.90,10.68,10.90,10.90,8.90,10.68,8.90,0f3a59e8-c63d-4540-9bc4-3b22a8c709b2,94ab9910-b3ea-495c-a740-198b0364a92f
